CODIGOVIA,TPD_AUTOS,TPD_BUSES,TPD_C2,TPD_C3__C4,TPD_C5,TPD_MAS_C5,CLASE_DE_R,START_X,START_Y,END_X,END_Y,COSTO_AUTOS,COSTO_BUSES,COSTO_C2,COSTO_C3__C4,COSTO_C5,COSTO_MAS_C5,TPD_Global,FID,CLASE_DE_R,COD_AFORO
45PT22,200,50,100,50,50,25,Departamental,-76.266613,0.968063,-76.406988,0.961446,16539.84,50616.28,37253.59,63106.83,113847.7,119329.84,1250,120,Departamental,0
52352,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.5213,0.974097,-77.520939,0.966562,883.6,2744,2043.33,3410.15,5733.06,5986.75,665000,121,Vía Municipal,0
2501,3229,454,731,210,51,226,Primer Orden,-77.547199,0.893981,-77.468997,0.980815,13584.88,34326.54,27091.68,46766.33,82914.59,86896.37,9236,122,Primer Orden,310
SANTA LUCIA - EL JUANO,200,50,100,50,50,25,Departamental,-76.440258,0.960339,-76.466599,0.98953,4201.48,11662.87,8917.27,15199.7,27163.24,28468.79,1250,123,Departamental,0
25NR07,22,1,1,0,0,0,Departamental,-77.447652,0.993949,-77.457556,0.94043,8736.62,26111.32,19394.64,35094.27,65573.9,68940.46,29,124,Departamental,0
25NR11,19,3,3,1,0,0,Departamental,-77.468997,0.980815,-77.5213,0.974097,13355.29,43705.94,31430.12,56232.8,105612.22,111009.57,43,125,Departamental,0
4502,1913,72,484,100,29,58,Primer Orden,-76.589527,0.943846,-76.612577,1.006026,6137.78,15569.59,12228.17,21174.17,36838.55,38461.86,4452,126,Primer Orden,891
6501,847,12,76,24,5,4,Primer Orden,-76.550882,1.006231,-76.466599,0.98953,10638.35,26986.09,21194.56,36700.27,63850.66,66664.28,1258,127,Primer Orden,1216
52287,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.45081,1.008575,-77.447652,0.993949,2419.37,7051.59,5482.93,9234.93,15288.28,15952.14,665000,128,Vía Municipal,0
6501,847,12,76,24,5,4,Primer Orden,-76.612577,1.006026,-76.550882,1.006231,6073.68,15406.99,12100.47,20953.04,36453.83,38060.19,1258,129,Primer Orden,1216
4502,1913,72,484,100,29,58,Primer Orden,-76.612577,1.006026,-76.615442,1.023108,1641.81,4164.76,3270.95,5663.94,9854.05,10288.28,4452,130,Primer Orden,891
2501,3229,454,731,210,51,226,Primer Orden,-77.468997,0.980815,-77.471853,1.024106,4933.64,12466.41,9838.92,16984.18,30112.19,31558.26,9236,131,Primer Orden,310
25NR07,22,1,1,0,0,0,Departamental,-77.471853,1.024106,-77.45081,1.008575,5487.07,16399.33,12180.89,22041.11,41183.98,43298.36,29,132,Departamental,0
1402,200,50,100,50,50,25,Departamental,-76.550882,1.006231,-76.54062,1.026054,2706.85,7513.94,5745.05,9792.59,17500.24,18341.35,1250,133,Departamental,0
4502A,200,50,100,50,50,25,Departamental,-76.690843,0.937012,-76.626044,1.029264,12018.26,33361.43,25507.69,43478.5,77699.99,81434.48,1250,134,Departamental,0
86885,50000,30000,30000,30000,30000,30000,Vía Municipal,-76.626044,1.029264,-76.617565,1.032629,783.68,2105.72,1692.48,2891.05,4710.3,4912.8,665000,135,Vía Municipal,0
86885,50000,30000,30000,30000,30000,30000,Vía Municipal,-76.615442,1.023108,-76.617565,1.032629,822.15,2209.09,1775.56,3032.96,4941.52,5153.97,665000,136,Vía Municipal,0
18205,50000,30000,30000,30000,30000,30000,Vía Municipal,-75.921482,1.034033,-75.913949,1.034156,876.86,2723.07,2027.75,3384.14,5689.33,5941.09,665000,137,Vía Municipal,0
18205,50000,30000,30000,30000,30000,30000,Vía Municipal,-75.918011,1.036716,-75.921482,1.034033,399.67,1241.17,924.24,1542.48,2593.18,2707.93,665000,138,Vía Municipal,0
